,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,list_price,standard_cost,product_first_sold_date
0,1,2,2950,25-02-2017 00:00,False,Approved,Solex,Standard,71.49,53.62,41245.0
1,2,3,3120,21-05-2017 00:00,True,Approved,Trek Bicycles,Standard,2091.47,388.92,41701.0
2,3,37,402,16-10-2017 00:00,False,Approved,OHM Cycles,Standard,1793.43,248.82,36361.0
3,4,88,3135,31-08-2017 00:00,False,Approved,Norco Bicycles,Standard,1198.46,381.1,36145.0
4,5,78,787,01-10-2017 00:00,True,Approved,Giant Bicycles,Standard,1765.3,709.48,42226.0
5,6,25,2339,08-03-2017 00:00,True,Approved,Giant Bicycles,Road,1538.99,829.65,39031.0
6,7,22,1542,21-04-2017 00:00,True,Approved,WeareA2B,Standard,60.34,45.26,34165.0
7,8,15,2459,15-07-2017 00:00,False,Approved,WeareA2B,Standard,1292.84,13.44,39915.0
8,9,67,1305,10-08-2017 00:00,False,Approved,Solex,Standard,1071.23,380.74,33455.0
9,10,12,3262,30-08-2017 00:00,True,Approved,WeareA2B,Standard,1231.15,161.6,38216.0
10,11,5,1986,17-01-2017 00:00,False,Approved,Trek Bicycles,Mountain,574.64,459.71,40784.0
11,12,61,2783,05-01-2017 00:00,True,Approved,OHM Cycles,Standard,71.16,56.93,42172.0
12,13,35,1243,26-02-2017 00:00,True,Approved,Trek Bicycles,Standard,1057.51,154.4,34527.0
13,14,16,2717,10-09-2017 00:00,False,Approved,Norco Bicycles,Standard,1661.92,1479.11,34586.0
14,15,12,247,11-06-2017 00:00,False,Approved,Giant Bicycles,Standard,1765.3,709.48,38193.0
15,16,3,2961,10-10-2017 00:00,False,Approved,Trek Bicycles,Standard,2091.47,388.92,37873.0
16,17,79,2426,03-04-2017 00:00,False,Approved,Norco Bicycles,Standard,1555.58,818.01,38206.0
17,18,33,1842,02-06-2017 00:00,False,Approved,Giant Bicycles,Standard,1311.44,1167.18,33888.0
18,19,54,2268,06-04-2017 00:00,True,Approved,WeareA2B,Standard,1292.84,13.44,39915.0
19,20,25,3002,28-01-2017 00:00,True,Approved,Giant Bicycles,Road,1538.99,829.65,37337.0
20,21,27,1582,09-10-2017 00:00,False,Approved,Trek Bicycles,Standard,499.53,388.72,36334.0
21,22,37,595,29-06-2017 00:00,True,Approved,OHM Cycles,Standard,1793.43,248.82,36361.0
22,23,37,2001,08-04-2017 00:00,True,Approved,OHM Cycles,Standard,1793.43,248.82,42145.0
23,24,82,515,18-10-2017 00:00,False,Approved,Giant Bicycles,Road,1538.99,829.65,42404.0
24,25,89,2822,11-06-2017 00:00,False,Approved,WeareA2B,Touring,1362.99,57.74,34079.0
25,26,64,2596,10-01-2017 00:00,False,Approved,Trek Bicycles,Standard,1469.44,596.55,42145.0
26,27,64,2666,11-04-2017 00:00,True,Approved,Trek Bicycles,Standard,1469.44,596.55,41047.0
27,28,19,76,23-12-2017 00:00,False,Approved,Trek Bicycles,Mountain,574.64,459.71,42560.0
28,29,72,3368,13-10-2017 00:00,True,Approved,Norco Bicycles,Standard,360.4,270.3,42710.0
29,30,91,1173,15-03-2017 00:00,False,Approved,WeareA2B,Standard,642.31,513.85,41922.0
30,31,88,2810,05-09-2017 00:00,True,Approved,Norco Bicycles,Standard,1198.46,381.1,37539.0
31,32,1,3214,18-02-2017 00:00,False,Approved,Giant Bicycles,Standard,1403.5,954.82,42688.0
32,33,25,1272,20-03-2017 00:00,False,Approved,Giant Bicycles,Road,1538.99,829.65,42404.0
33,34,99,2003,28-02-2017 00:00,True,Approved,Trek Bicycles,Road,1720.7,1531.42,38991.0
34,35,0,2171,20-08-2017 00:00,False,Approved,Norco Bicycles,Road,544.05,376.84,38647.0
35,36,92,3356,07-07-2017 00:00,False,Approved,WeareA2B,Standard,1415.01,1259.36,37874.0
36,37,14,1040,09-01-2017 00:00,False,Approved,Solex,Standard,1842.92,1105.75,34996.0
37,38,2,2916,06-12-2017 00:00,False,Approved,Solex,Standard,71.49,53.62,33549.0
38,39,12,427,12-09-2017 00:00,False,Approved,WeareA2B,Standard,1231.15,161.6,38693.0
